GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
agent-launcher,io.sentrius.agent.launcher.service,PodLauncherService,153,0,6,0,36,0,6,0,3,0
agent-launcher,io.sentrius.agent.launcher.service,LauncherSecurityConfig,39,0,0,0,9,0,5,0,5,0
agent-launcher,io.sentrius.agent.launcher.api,AgentLauncherController,51,0,4,0,12,0,5,0,3,0
agent-launcher,io.sentrius.agent.launcher,AgentLauncher,8,0,0,0,3,0,2,0,2,0
agent-launcher,io.sentrius.agent.launcher,LauncherConfigOptions,0,21,0,0,0,5,0,6,0,6
